
Enable InstanceName
------ ------------
  True ACPI\SNSL002D\4&39979b3e&0_0
  True ACPI\TIAS2781\0_0
  True ACPI\VEN_ELAS&DEV_B41A&SUBSYS_17AA2234&REV_0003\2&daba3ff&1_0
  True BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b023_REV&0015_e642266dde7e\8&6f8dc1b&0&0021_0
  True BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b037_REV&0003_d35004a25279\8&2757d4ab&0&001f_0
  True BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b369_REV&0016_d90061f37b6f\8&f9481dd&0&001f_0
  True INTELAUDIO\CTLR_DEV_7E28&LINKTYPE_03&DEVTYPE_03&VEN_8086&DEV_AE33&SUBSYS_223417AA&REV_0001\5&2ea39da9&0&0301DIF_000B&UIF_0000_0
  True INTELAUDIO\DIF_0000&UIF_0000&CTLR_DEV_7E28&VEN_8086&DetectionVerification\5&2ea39da9&0&DIF_0000&UIF_0000_0
  True INTELAUDIO\DSP_CTLR_DEV_7E28&VEN_8086&DEV_0222&SUBSYS_223417AA&REV_0020\4&2ee40ba5&0&0800DIF_000B&UIF_0000_0
  True PCI\VEN_8086&DEV_7E28&SUBSYS_223417AA&REV_20\3&11583659&1&FB_0
  True PCI\VEN_8086&DEV_7E4C&SUBSYS_223417AA&REV_20\3&11583659&1&40_0
  True PCI\VEN_8086&DEV_7E50&SUBSYS_223417AA&REV_20\3&11583659&1&C8_0
  True PCI\VEN_8086&DEV_7E70&SUBSYS_223417AA&REV_20\3&11583659&1&B0_0
  True PCI\VEN_8086&DEV_7E78&SUBSYS_223417AA&REV_20\3&11583659&1&A8_0
  True PCI\VEN_8086&DEV_7E7D&SUBSYS_223417AA&REV_20\3&11583659&1&A0_0
  True PCI\VEN_8086&DEV_7EC0&SUBSYS_223417AA&REV_02\3&11583659&1&68_0
  True SWD\DRIVERENUM\{549bb3bd-6a2c-499c-97f1-120ffb14d3e7}#synaUtilApp_component&6&316ec929&0_0
  True USB\ROOT_HUB30\1&2b53a856&1&0_0
  True USB\ROOT_HUB30\4&2f281c3b&0&0_0
  True USB\ROOT_HUB30\4&3237baa9&0&0_0
  True USB\VID_05E3&PID_0764\000000002959_0
  True USB\VID_06CB&PID_00F9\ddf5456187b0_0
  True USB\VID_0BDA&PID_493B&MI_03\9&31215658&0&0003_0
  True USB\VID_1050&PID_0407&MI_00\6&30359553&1&0000_0
  True USB\VID_1050&PID_0407&MI_01\6&30359553&1&0001_0
  True USB\VID_1050&PID_0407&MI_02\6&30359553&1&0002_0
  True USB\VID_1532&PID_0F51&MI_00\e&11807dde&0&0000_0
  True USB\VID_1532&PID_0F51&MI_01\e&11807dde&0&0001_0
  True USB\VID_1D5C&PID_5801\5&2dd6e1f8&0&1_0
  True USB\VID_1D5C&PID_5801\5&2dd6e1f8&0&3_0
  True USB\VID_2109&PID_0211\7&1d05c306&0&4_0
  True USB\VID_2109&PID_0817\7&1d05c306&0&2_0
  True USB\VID_2109&PID_0822\6&1b4ecf07&0&4_0
  True USB\VID_2109&PID_2211\7&25c9374e&0&4_0
  True USB\VID_2109&PID_2817\7&25c9374e&0&2_0
  True USB\VID_2109&PID_2822\6&2694569&0&5_0
  True USB\VID_2BD5&PID_42A8&MI_00\7&5236de6&0&0000_0
  True USB\VID_2BD5&PID_42A8&MI_01\7&5236de6&0&0001_0
  True USB\VID_8087&PID_0036\5&2dd6e1f8&0&10_0
  True USB\VID_8087&PID_5787\5&2f5d9168&0&2_0
  True USB\VID_8087&PID_5787\5&2f5d9168&0&3_0
  True USB\VID_ABCD&PID_1234\5&2dd6e1f8&0&6_0
  True USB4\VIRTUAL_POWER_PDO\4&1f6645ca&0&0_0


