"TaskName","TaskPath","State","Author","Principal","ResolvedUser","LastRun","LastResultHex","LastResultDec","Executable","Args"
"OneDrive Per-Machine Standalone Update Task","\","Ready","Microsoft Corporation","SYSTEM","SYSTEM","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe",""
"OneDrive Reporting Task-S-1-5-21-357761096-1057752491-2136275046-1001","\","Ready","Microsoft Corporation","david","david","5/8/2026 11:45:52 PM","0x00000000","0","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","/reporting"
"OneDrive Reporting Task-S-1-5-21-357761096-1057752491-2136275046-1002","\","Ready","Microsoft Corporation","S-1-5-21-357761096-1057752491-2136275046-1002","UNRESOLVABLE_SID:S-1-5-21-357761096-1057752491-2136275046-1002","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","/reporting"
"OneDrive Reporting Task-S-1-5-21-357761096-1057752491-2136275046-1003","\","Ready","Microsoft Corporation","WsiAccount","WsiAccount","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","/reporting"
"OneDrive Reporting Task-S-1-5-21-357761096-1057752491-2136275046-1007","\","Ready","Microsoft Corporation","DevToolsUser","DevToolsUser","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","/reporting"
"OneDrive Reporting Task-S-1-5-21-357761096-1057752491-2136275046-1009","\","Ready","Microsoft Corporation","CodexSandboxOffline","CodexSandboxOffline","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","/reporting"
"OneDrive Startup Task-S-1-5-21-357761096-1057752491-2136275046-1001","\","Ready","Microsoft Corporation","david","david","5/9/2026 2:47:23 PM","0x00000000","0","C:\Program Files\Microsoft OneDrive\26.070.0414.0001\OneDriveLauncher.exe","/startInstances"
"OneDrive Startup Task-S-1-5-21-357761096-1057752491-2136275046-1003","\","Ready","Microsoft Corporation","WsiAccount","WsiAccount","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\26.070.0414.0001\OneDriveLauncher.exe","/startInstances"
"OneDrive Startup Task-S-1-5-21-357761096-1057752491-2136275046-1007","\","Ready","Microsoft Corporation","DevToolsUser","DevToolsUser","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\26.070.0414.0001\OneDriveLauncher.exe","/startInstances"
"OneDrive Startup Task-S-1-5-21-357761096-1057752491-2136275046-1009","\","Ready","Microsoft Corporation","CodexSandboxOffline","CodexSandboxOffline","11/30/1999 12:00:00 AM","0x00041303","267011","C:\Program Files\Microsoft OneDrive\26.070.0414.0001\OneDriveLauncher.exe","/startInstances"
