"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DTM-P1GEN7","\AutoMount_VHDX_cloud-cache-disk","N/A","Ready","Interactive/Background","4/28/2026 2:35:57 PM","0","N/A","powershell.exe -NoProfile -NonInteractive -WindowStyle Hidden -Command "Import-Module Hyper-V -ErrorAction Stop; Mount-VHD -Path 'T:\vm\cloud-cache-disk.vhdx' -ErrorAction Stop"","N/A","Automatically mounts the VHDX drive 'cloud-cache-disk.vhdx' (Path: T:\vm\cloud-cache-disk.vhdx) at system startup.","Enabled","Disabled","","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\AutoMount_VHDX_share-ext4","N/A","Ready","Interactive/Background","4/28/2026 2:35:57 PM","0","N/A","powershell.exe -NoProfile -NonInteractive -WindowStyle Hidden -Command "Import-Module Hyper-V -ErrorAction Stop; Mount-VHD -Path 'T:\vm\share-ext4.vhdx' -ErrorAction Stop"","N/A","Automatically mounts the VHDX drive 'share-ext4.vhdx' (Path: T:\vm\share-ext4.vhdx) at system startup.","Enabled","Disabled","","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\AutoMount_VHDX_shared-dev","N/A","Ready","Interactive/Background","4/28/2026 2:35:57 PM","0","N/A","powershell.exe -NoProfile -NonInteractive -WindowStyle Hidden -Command "Import-Module Hyper-V -ErrorAction Stop; Mount-VHD -Path 'T:\vm\shared-dev.vhdx' -ErrorAction Stop"","N/A","Automatically mounts the VHDX drive 'shared-dev.vhdx' (Path: T:\vm\shared-dev.vhdx) at system startup.","Enabled","Disabled","","SYSTEM","Disabled","Disabled","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\BraveSoftwareUpdateTaskMachineCore{5562EDD6-A61A-40A2-A6BD-2A38E5712D2D}","4/29/2026 9:34:43 AM","Ready","Interactive/Background","4/28/2026 2:36:04 PM","0","N/A",""C:\Program Files (x86)\BraveSoftware\Update\BraveUpdate.exe" /c","N/A","Keeps your BraveSoftware software up to date. If this task is disabled or stopped, your BraveSoftware software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls i","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\BraveSoftwareUpdateTaskMachineCore{5562EDD6-A61A-40A2-A6BD-2A38E5712D2D}","4/29/2026 9:34:43 AM","Ready","Interactive/Background","4/28/2026 2:36:04 PM","0","N/A",""C:\Program Files (x86)\BraveSoftware\Update\BraveUpdate.exe" /c","N/A","Keeps your BraveSoftware software up to date. If this task is disabled or stopped, your BraveSoftware software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls i","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","9:34:43 AM","8/15/2024","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"DTM-P1GEN7","\BraveSoftwareUpdateTaskMachineUA{E74F84C6-E50A-4E11-B382-CFFCACA9E2A2}","4/28/2026 6:34:43 PM","Ready","Interactive/Background","4/28/2026 5:34:44 PM","0","N/A",""C:\Program Files (x86)\BraveSoftware\Update\BraveUpdate.exe" /ua /installsource scheduler","N/A","Keeps your BraveSoftware software up to date. If this task is disabled or stopped, your BraveSoftware software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This task uninstalls i","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","9:34:43 AM","8/15/2024","N/A","Every 1 day(s)","N/A","1 Hour(s), 0 Minute(s)","None","24 Hour(s), 0 Minute(s)","Disabled"
"DTM-P1GEN7","\BW-Auto-Unlock","N/A","Ready","Interactive only","4/28/2026 2:36:05 PM","0","N/A","C:\Program Files\PowerShell\7\pwsh.exe -NoLogo -NoProfile -NonInteractive -WindowStyle Hidden -File "C:\Users\david\.machine\Unlock-BwVault.ps1" -Quiet -PersistSession","N/A","Auto-unlocks Bitwarden CLI vault at login using Windows Credential Manager. Sets BW_SESSION as User environment variable.","Enabled","Disabled","","david","Disabled","00:05:00","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\DevEnvironmentStartup","N/A","Disabled","Interactive only","1/25/2026 9:58:13 PM","0","N/A","pwsh.exe -NoProfile -ExecutionPolicy Bypass -File "C:\Users\david\OneDrive\Documents\PowerShell\Scripts\Start-DevEnvironment.ps1" -WindowStyle Hidden","N/A","Starts Docker, WSL Bridge, and warms up WSL environment.","Disabled","Disabled","","david","Disabled","Disabled","Scheduling data is not available in this format.","At logon time","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DTM-P1GEN7","\ETW Host Service Updater v16","4/29/2026 9:31:00 AM","Ready","Interactive/Background","4/28/2026 2:20:33 PM","-2147020576","WORKGROUP\DTM-P1GEN7$",""C:\Program Files\JetBrains\ETW Host\16\Updater\EtwHostServiceUpdater.exe" ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","Users","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","9:31:00 AM","2/27/2026","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
