
ProcessName                       Id Path
-----------                       -- ----                                                                               
nvcontainer                     3848 C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe                    
nvcontainer                    12380 C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe                    
nvcontainer                    14508 C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe                    
NVDisplay.Container             2704 C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispig.inf_amd64_f4c7a2fd13e0f76…
NVDisplay.Container             4752 C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispig.inf_amd64_f4c7a2fd13e0f76…
nvWmi64                         5424 C:\Windows\System32\DriverStore\FileRepository\nvltwi.inf_amd64_751865768b3d6c40\N…
nvWmi64                        14568 C:\WINDOWS\System32\DriverStore\FileRepository\nvltwi.inf_amd64_751865768b3d6c40\N…
PowerToys.EnvironmentVariables 62972 C:\Users\david\AppData\Local\PowerToys\WinUI3Apps\PowerToys.EnvironmentVariables.e…

